post_id,platform,post_date,content_type,theme,reach,likes,comments,shares,saves,follows_gained,engagement_rate
P0001,Instagram,2025-05-21,Story,User Generated Content,3515,301,18,25,61,3,0.1114
P0002,TikTok,2025-02-08,Short Video,Trend Based,14498,585,38,59,115,24,0.0519
P0003,Instagram,2025-01-17,Reel,Trend Based,30040,1715,68,322,329,94,0.0744
P0004,Instagram,2025-03-21,Reel,Styling Tips,13151,356,18,49,50,33,0.0324
P0005,TikTok,2025-01-06,Short Video,Trend Based,21159,145,11,14,25,83,0.0082
P0006,YouTube Shorts,2025-03-11,Short Video,Promotional Offer,1559,28,2,2,6,0,0.0245
P0007,YouTube Shorts,2025-02-05,Short Video,Product Launch,14438,756,64,53,114,18,0.0647
P0008,YouTube Shorts,2025-03-01,Short Video,Styling Tips,10215,190,14,32,32,10,0.023
P0009,TikTok,2025-05-10,Short Video,Product Launch,5777,175,9,31,31,19,0.0396
P0010,TikTok,2025-02-14,Short Video,Promotional Offer,12806,187,11,17,50,34,0.0205
P0011,TikTok,2025-03-24,Short Video,Trend Based,35992,2379,114,272,600,88,0.0883
P0012,TikTok,2025-05-28,Short Video,Product Launch,14808,594,32,48,93,78,0.0526
P0013,Instagram,2025-03-14,Carousel,Product Launch,7738,216,17,17,53,15,0.0347
P0014,YouTube Shorts,2025-01-10,Short Video,Styling Tips,2687,73,5,15,11,8,0.0381
P0015,TikTok,2025-02-13,Short Video,User Generated Content,25044,1304,121,222,168,91,0.0685
P0016,TikTok,2025-04-17,Short Video,User Generated Content,19662,869,73,79,192,58,0.0602
P0017,YouTube Shorts,2025-05-02,Short Video,Product Launch,5199,237,12,19,58,16,0.0568
P0018,Instagram,2025-06-11,Story,Trend Based,2797,56,5,10,14,15,0.027
P0019,TikTok,2025-06-18,Short Video,User Generated Content,44699,2719,277,530,410,112,0.0805
P0020,TikTok,2025-04-28,Short Video,User Generated Content,62474,1712,153,262,416,280,0.0366
P0021,TikTok,2025-04-02,Short Video,Styling Tips,23952,1017,65,168,158,45,0.0502
P0022,TikTok,2025-02-05,Short Video,Product Launch,4033,101,9,17,15,3,0.03
P0023,YouTube Shorts,2025-04-10,Short Video,Product Launch,9955,239,17,28,41,48,0.0326
P0024,YouTube Shorts,2025-01-18,Short Video,Trend Based,5144,378,30,56,57,13,0.0907
P0025,YouTube Shorts,2025-02-16,Short Video,User Generated Content,8322,186,13,14,49,7,0.0316
P0026,TikTok,2025-03-01,Short Video,Trend Based,30483,1145,73,168,193,176,0.0532
P0027,Instagram,2025-06-01,Story,Styling Tips,11263,557,28,113,128,7,0.0687
P0028,Instagram,2025-01-15,Carousel,Behind the Scenes,3178,53,2,5,10,8,0.0233
P0029,TikTok,2025-04-25,Short Video,Promotional Offer,29177,485,19,63,59,21,0.0205
P0030,Instagram,2025-02-26,Reel,Product Launch,15354,769,62,54,193,77,0.0651
P0031,Instagram,2025-04-01,Reel,User Generated Content,14374,835,73,61,176,87,0.0818
P0032,TikTok,2025-04-14,Short Video,Behind the Scenes,13346,318,28,46,42,17,0.0301
P0033,Instagram,2025-01-17,Reel,Promotional Offer,3565,95,3,15,13,2,0.0325
P0034,TikTok,2025-06-18,Short Video,Promotional Offer,9318,174,11,23,33,22,0.0239
P0035,Instagram,2025-04-12,Reel,Trend Based,19456,506,33,71,96,61,0.0354
P0036,Instagram,2025-01-02,Reel,Styling Tips,9333,286,22,34,42,16,0.0391
P0037,TikTok,2025-06-20,Short Video,Styling Tips,10414,399,37,26,79,27,0.0454
P0038,TikTok,2025-05-04,Short Video,Styling Tips,14731,479,25,56,117,16,0.0426
P0039,TikTok,2025-06-27,Short Video,Trend Based,5215,122,11,18,18,7,0.0279
P0040,TikTok,2025-05-07,Short Video,Trend Based,10700,267,18,38,61,57,0.0339
P0041,YouTube Shorts,2025-05-03,Short Video,Product Launch,4462,72,5,9,17,24,0.0227
